CheckingStatus,Duration,CreditHistory,Purpose,CreditAmount,SavingsStatus,Employment,InstallmentCommitment,PersonalStatus,OtherParties,ResidenceSince,PropertyMagnitude,Age,OtherPaymentPlans,Housing,ExistingCredits,Job,NumDependents,OwnTelephone,ForeignWorker,Class
0<=X<200,36.0,ExistingCreditPaid,RadioOrTV,4795.0,<100,<1,4.0,DivorcedFemale,none,1.0,NoKnownProperty,30.0,None,Own,1.0,HighlyQualified,1.0,1,1,yes
<0,27.0,ExistingCreditPaid,RadioOrTV,3416.0,<100,1<=X<4,3.0,SingleMale,none,2.0,Car,27.0,None,Own,1.0,HighlyQualified,1.0,0,1,yes
<0,18.0,ExistingCreditPaid,FurnitureOrEquipment,2462.0,<100,1<=X<4,2.0,SingleMale,none,2.0,Car,22.0,None,Own,1.0,Skilled,1.0,0,1,no
NoCheckingAccount,21.0,OtherBankCredit,FurnitureOrEquipment,2288.0,<100,<1,4.0,DivorcedFemale,none,4.0,LifeInsurance,23.0,None,Own,1.0,Skilled,1.0,1,1,yes
0<=X<200,48.0,AllCreditsPaid,Business,3566.0,100<=X<500,4<=X<7,4.0,SingleMale,none,2.0,Car,30.0,None,Own,1.0,Skilled,1.0,0,1,yes
<0,6.0,OtherBankCredit,NewCar,860.0,<100,>=7,1.0,DivorcedFemale,none,4.0,NoKnownProperty,39.0,None,Own,2.0,Skilled,1.0,1,1,yes
NoCheckingAccount,12.0,OtherBankCredit,NewCar,682.0,100<=X<500,4<=X<7,4.0,DivorcedFemale,none,3.0,Car,51.0,None,Own,2.0,Skilled,1.0,1,1,yes
<0,36.0,OtherBankCredit,FurnitureOrEquipment,5371.0,<100,1<=X<4,3.0,SingleMale,guarantor,2.0,LifeInsurance,28.0,None,Own,2.0,Skilled,1.0,0,1,yes
NoCheckingAccount,18.0,OtherBankCredit,RadioOrTV,1582.0,>=1000,>=7,4.0,SingleMale,none,4.0,Car,46.0,None,Own,2.0,Skilled,1.0,0,1,yes
NoCheckingAccount,6.0,ExistingCreditPaid,RadioOrTV,1346.0,100<=X<500,>=7,2.0,SingleMale,none,4.0,NoKnownProperty,42.0,Bank,ForFree,1.0,Skilled,2.0,1,1,yes
NoCheckingAccount,10.0,ExistingCreditPaid,RadioOrTV,1924.0,<100,1<=X<4,1.0,SingleMale,none,4.0,LifeInsurance,38.0,None,Own,1.0,Skilled,1.0,1,0,yes
>=200,36.0,ExistingCreditPaid,RadioOrTV,5848.0,<100,1<=X<4,4.0,SingleMale,none,1.0,Car,24.0,None,Own,1.0,Skilled,1.0,0,1,yes
0<=X<200,24.0,OtherBankCredit,UsedCar,7758.0,>=1000,>=7,2.0,DivorcedFemale,none,4.0,NoKnownProperty,29.0,None,Rent,1.0,Skilled,1.0,0,1,yes
0<=X<200,24.0,PreviouslyDelayedPayment,Business,6967.0,100<=X<500,4<=X<7,4.0,SingleMale,none,4.0,Car,36.0,None,Rent,1.0,HighlyQualified,1.0,1,1,yes
<0,12.0,ExistingCreditPaid,FurnitureOrEquipment,1282.0,<100,1<=X<4,2.0,DivorcedFemale,none,4.0,Car,20.0,None,Rent,1.0,Skilled,1.0,0,1,no
<0,9.0,OtherBankCredit,Repairs,1288.0,100<=X<500,>=7,3.0,SingleMale,guarantor,4.0,RealEstate,48.0,None,Own,2.0,Skilled,2.0,0,0,yes
<0,12.0,AllCreditsPaid,Retraining,339.0,<100,>=7,4.0,MarriedMale,none,1.0,Car,45.0,Bank,Own,1.0,UnskilledResident,1.0,0,1,yes
0<=X<200,24.0,ExistingCreditPaid,NewCar,3512.0,100<=X<500,4<=X<7,2.0,SingleMale,none,3.0,Car,38.0,Bank,Own,2.0,Skilled,1.0,1,1,yes
NoCheckingAccount,6.0,OtherBankCredit,RadioOrTV,1898.0,NoSavings,1<=X<4,1.0,SingleMale,none,2.0,RealEstate,34.0,None,Own,2.0,UnskilledResident,2.0,0,1,yes
NoCheckingAccount,24.0,OtherBankCredit,RadioOrTV,2872.0,100<=X<500,>=7,3.0,SingleMale,none,4.0,RealEstate,36.0,None,Own,1.0,Skilled,2.0,1,1,yes
NoCheckingAccount,18.0,OtherBankCredit,NewCar,1055.0,<100,<1,4.0,DivorcedFemale,none,1.0,LifeInsurance,30.0,None,Own,2.0,Skilled,1.0,0,1,yes
NoCheckingAccount,15.0,ExistingCreditPaid,DomesticAppliance,1262.0,500<=X<1000,4<=X<7,4.0,SingleMale,none,3.0,LifeInsurance,36.0,None,Own,2.0,Skilled,1.0,1,1,yes
0<=X<200,10.0,ExistingCreditPaid,NewCar,7308.0,<100,Unemployed,2.0,SingleMale,none,4.0,NoKnownProperty,70.0,Bank,ForFree,1.0,HighlyQualified,1.0,1,1,yes
NoCheckingAccount,36.0,ExistingCreditPaid,NewCar,909.0,500<=X<1000,>=7,4.0,SingleMale,none,4.0,LifeInsurance,36.0,None,Own,1.0,Skilled,1.0,0,1,yes
NoCheckingAccount,6.0,ExistingCreditPaid,FurnitureOrEquipment,2978.0,500<=X<1000,1<=X<4,1.0,SingleMale,none,2.0,Car,32.0,None,Own,1.0,Skilled,1.0,1,1,yes
<0,18.0,ExistingCreditPaid,FurnitureOrEquipment,1131.0,<100,Unemployed,4.0,DivorcedFemale,none,2.0,Car,33.0,None,Own,1.0,Skilled,1.0,0,1,no
0<=X<200,11.0,ExistingCreditPaid,FurnitureOrEquipment,1577.0,>=1000,<1,4.0,DivorcedFemale,none,1.0,RealEstate,20.0,None,Own,1.0,Skilled,1.0,0,1,yes
NoCheckingAccount,24.0,ExistingCreditPaid,FurnitureOrEquipment,3972.0,<100,4<=X<7,2.0,DivorcedFemale,none,4.0,LifeInsurance,25.0,None,Rent,1.0,Skilled,1.0,1,1,yes
0<=X<200,24.0,OtherBankCredit,Business,1935.0,<100,>=7,4.0,DivorcedMale,none,4.0,RealEstate,31.0,None,Own,2.0,Skilled,1.0,1,1,no
<0,15.0,NoCredits,NewCar,950.0,<100,>=7,4.0,SingleMale,none,3.0,Car,33.0,None,Rent,2.0,Skilled,2.0,0,1,no
NoCheckingAccount,12.0,ExistingCreditPaid,FurnitureOrEquipment,763.0,<100,1<=X<4,4.0,DivorcedFemale,none,1.0,RealEstate,26.0,None,Own,1.0,Skilled,1.0,1,1,yes
0<=X<200,24.0,PreviouslyDelayedPayment,FurnitureOrEquipment,2064.0,<100,Unemployed,3.0,DivorcedFemale,none,2.0,LifeInsurance,34.0,None,Own,1.0,HighlyQualified,1.0,1,1,no
0<=X<200,8.0,ExistingCreditPaid,RadioOrTV,1414.0,<100,1<=X<4,4.0,SingleMale,guarantor,2.0,RealEstate,33.0,None,Own,1.0,Skilled,1.0,0,0,yes
<0,21.0,PreviouslyDelayedPayment,Education,3414.0,<100,<1,2.0,SingleMale,none,1.0,LifeInsurance,26.0,None,Own,2.0,Skilled,1.0,0,1,no
NoCheckingAccount,30.0,AllCreditsPaid,UsedCar,7485.0,NoSavings,Unemployed,4.0,DivorcedFemale,none,1.0,RealEstate,53.0,Bank,Own,1.0,HighlyQualified,1.0,1,1,no
<0,12.0,ExistingCreditPaid,FurnitureOrEquipment,2577.0,<100,1<=X<4,2.0,DivorcedMale,none,1.0,Car,42.0,None,Own,1.0,Skilled,1.0,0,1,yes
<0,6.0,OtherBankCredit,RadioOrTV,338.0,500<=X<1000,>=7,4.0,SingleMale,none,4.0,Car,52.0,None,Own,2.0,Skilled,1.0,0,1,yes
NoCheckingAccount,12.0,ExistingCreditPaid,RadioOrTV,1963.0,<100,4<=X<7,4.0,SingleMale,none,2.0,Car,31.0,None,Rent,2.0,HighlyQualified,2.0,1,1,yes
<0,21.0,OtherBankCredit,NewCar,571.0,<100,>=7,4.0,SingleMale,none,4.0,RealEstate,65.0,None,Own,2.0,Skilled,1.0,0,1,yes
NoCheckingAccount,36.0,PreviouslyDelayedPayment,Business,9572.0,<100,<1,1.0,DivorcedMale,none,1.0,Car,28.0,None,Own,2.0,Skilled,1.0,0,1,no
0<=X<200,36.0,PreviouslyDelayedPayment,Business,4455.0,<100,1<=X<4,2.0,DivorcedMale,none,2.0,RealEstate,30.0,Stores,Own,2.0,HighlyQualified,1.0,1,1,no
<0,21.0,AllCreditsPaid,NewCar,1647.0,NoSavings,1<=X<4,4.0,SingleMale,none,2.0,LifeInsurance,40.0,None,Own,2.0,UnskilledResident,2.0,0,1,no
NoCheckingAccount,24.0,OtherBankCredit,FurnitureOrEquipment,3777.0,>=1000,1<=X<4,4.0,SingleMale,none,4.0,RealEstate,50.0,None,Own,1.0,Skilled,1.0,1,1,yes
0<=X<200,18.0,OtherBankCredit,NewCar,884.0,<100,>=7,4.0,SingleMale,none,4.0,Car,36.0,Bank,Own,1.0,Skilled,2.0,1,1,no
NoCheckingAccount,15.0,OtherBankCredit,RadioOrTV,1360.0,<100,1<=X<4,4.0,SingleMale,none,2.0,LifeInsurance,31.0,None,Own,2.0,Skilled,1.0,0,1,yes
0<=X<200,9.0,AllCreditsPaid,UsedCar,5129.0,<100,>=7,2.0,DivorcedFemale,none,4.0,NoKnownProperty,74.0,Bank,ForFree,1.0,HighlyQualified,2.0,1,1,no
0<=X<200,16.0,OtherBankCredit,NewCar,1175.0,<100,Unemployed,2.0,SingleMale,none,3.0,Car,68.0,None,ForFree,3.0,UnskilledNonResident,1.0,1,1,yes
<0,12.0,ExistingCreditPaid,RadioOrTV,674.0,100<=X<500,4<=X<7,4.0,MarriedMale,none,1.0,LifeInsurance,20.0,None,Own,1.0,Skilled,1.0,0,1,no
0<=X<200,18.0,NoCredits,FurnitureOrEquipment,3244.0,<100,1<=X<4,1.0,DivorcedFemale,none,4.0,Car,33.0,Bank,Own,2.0,Skilled,1.0,1,1,yes
NoCheckingAccount,24.0,ExistingCreditPaid,Business,4591.0,>=1000,1<=X<4,2.0,SingleMale,none,3.0,LifeInsurance,54.0,None,Own,3.0,HighlyQualified,1.0,1,1,no
0<=X<200,48.0,NoCredits,Business,3844.0,100<=X<500,4<=X<7,4.0,SingleMale,none,4.0,NoKnownProperty,34.0,None,ForFree,1.0,UnskilledResident,2.0,0,1,no
0<=X<200,27.0,ExistingCreditPaid,Business,3915.0,<100,1<=X<4,4.0,SingleMale,none,2.0,Car,36.0,None,Own,1.0,Skilled,2.0,1,1,no
NoCheckingAccount,6.0,ExistingCreditPaid,RadioOrTV,2108.0,<100,4<=X<7,2.0,MarriedMale,none,2.0,RealEstate,29.0,None,Rent,1.0,Skilled,1.0,0,1,yes
0<=X<200,45.0,ExistingCreditPaid,RadioOrTV,3031.0,100<=X<500,1<=X<4,4.0,SingleMale,guarantor,4.0,LifeInsurance,21.0,None,Rent,1.0,Skilled,1.0,0,1,no
0<=X<200,9.0,OtherBankCredit,Education,1501.0,<100,>=7,2.0,DivorcedFemale,none,3.0,Car,34.0,None,Own,2.0,HighlyQualified,1.0,1,1,no
NoCheckingAccount,6.0,OtherBankCredit,RadioOrTV,1382.0,<100,1<=X<4,1.0,DivorcedFemale,none,1.0,Car,28.0,None,Own,2.0,Skilled,1.0,1,1,yes
0<=X<200,12.0,ExistingCreditPaid,FurnitureOrEquipment,951.0,100<=X<500,<1,4.0,DivorcedFemale,none,4.0,Car,27.0,Bank,Rent,4.0,Skilled,1.0,0,1,no
0<=X<200,24.0,ExistingCreditPaid,UsedCar,2760.0,NoSavings,>=7,4.0,SingleMale,none,4.0,NoKnownProperty,36.0,Bank,ForFree,1.0,Skilled,1.0,1,1,yes
0<=X<200,18.0,PreviouslyDelayedPayment,FurnitureOrEquipment,4297.0,<100,>=7,4.0,DivorcedMale,none,3.0,NoKnownProperty,40.0,None,Own,1.0,HighlyQualified,1.0,1,1,no
NoCheckingAccount,9.0,OtherBankCredit,Education,936.0,500<=X<1000,>=7,4.0,SingleMale,none,2.0,Car,52.0,None,Own,2.0,Skilled,1.0,1,1,yes
<0,12.0,ExistingCreditPaid,NewCar,1168.0,<100,1<=X<4,4.0,MarriedMale,none,3.0,RealEstate,27.0,None,Own,1.0,UnskilledResident,1.0,0,1,yes
NoCheckingAccount,27.0,PreviouslyDelayedPayment,Business,5117.0,<100,4<=X<7,3.0,SingleMale,none,4.0,Car,26.0,None,Own,2.0,Skilled,1.0,0,1,yes
<0,12.0,ExistingCreditPaid,Retraining,902.0,<100,4<=X<7,4.0,MarriedMale,none,4.0,LifeInsurance,21.0,None,Rent,1.0,Skilled,1.0,0,1,no
NoCheckingAccount,12.0,OtherBankCredit,NewCar,1495.0,<100,>=7,4.0,SingleMale,none,1.0,RealEstate,38.0,None,Own,2.0,UnskilledResident,2.0,0,1,yes
<0,30.0,OtherBankCredit,UsedCar,10623.0,<100,>=7,3.0,SingleMale,none,4.0,NoKnownProperty,38.0,None,ForFree,3.0,HighlyQualified,2.0,1,1,yes
NoCheckingAccount,12.0,OtherBankCredit,FurnitureOrEquipment,1935.0,<100,>=7,4.0,SingleMale,none,4.0,RealEstate,43.0,None,Own,3.0,Skilled,1.0,1,1,yes
0<=X<200,12.0,OtherBankCredit,DomesticAppliance,1424.0,<100,4<=X<7,4.0,SingleMale,none,3.0,LifeInsurance,26.0,None,Own,1.0,Skilled,1.0,0,1,yes
<0,24.0,ExistingCreditPaid,Business,6568.0,<100,1<=X<4,2.0,MarriedMale,none,2.0,Car,21.0,Stores,Own,1.0,UnskilledResident,1.0,0,1,yes
NoCheckingAccount,12.0,ExistingCreditPaid,UsedCar,1413.0,>=1000,4<=X<7,3.0,SingleMale,none,2.0,LifeInsurance,55.0,None,Own,1.0,Skilled,1.0,0,0,yes
NoCheckingAccount,9.0,OtherBankCredit,RadioOrTV,3074.0,NoSavings,1<=X<4,1.0,SingleMale,none,2.0,RealEstate,33.0,None,Own,2.0,Skilled,2.0,0,1,yes
NoCheckingAccount,36.0,ExistingCreditPaid,RadioOrTV,3835.0,NoSavings,>=7,2.0,DivorcedFemale,none,4.0,RealEstate,45.0,None,Own,1.0,UnskilledResident,1.0,1,1,yes
<0,27.0,NoCredits,Business,5293.0,<100,Unemployed,2.0,SingleMale,none,4.0,LifeInsurance,50.0,Stores,Own,2.0,Skilled,1.0,1,1,no
>=200,30.0,PreviouslyDelayedPayment,Business,1908.0,<100,>=7,4.0,SingleMale,none,4.0,RealEstate,66.0,None,Own,1.0,HighlyQualified,1.0,1,1,no
NoCheckingAccount,36.0,OtherBankCredit,RadioOrTV,3342.0,NoSavings,>=7,4.0,SingleMale,none,2.0,Car,51.0,None,Own,1.0,Skilled,1.0,1,1,yes
0<=X<200,6.0,OtherBankCredit,Retraining,932.0,NoSavings,4<=X<7,1.0,DivorcedFemale,none,3.0,LifeInsurance,39.0,None,Own,2.0,UnskilledResident,1.0,0,1,yes
<0,18.0,NoCredits,Business,3104.0,<100,4<=X<7,3.0,SingleMale,none,1.0,LifeInsurance,31.0,Bank,Own,1.0,Skilled,1.0,1,1,yes
>=200,36.0,ExistingCreditPaid,RadioOrTV,3913.0,<100,1<=X<4,2.0,SingleMale,none,2.0,RealEstate,23.0,None,Own,1.0,Skilled,1.0,1,1,yes
<0,24.0,ExistingCreditPaid,FurnitureOrEquipment,3021.0,<100,1<=X<4,2.0,DivorcedMale,none,2.0,RealEstate,24.0,None,Rent,1.0,UnskilledResident,1.0,0,1,yes
NoCheckingAccount,10.0,ExistingCreditPaid,NewCar,1364.0,<100,1<=X<4,2.0,DivorcedFemale,none,4.0,Car,64.0,None,Own,1.0,Skilled,1.0,1,1,yes
0<=X<200,12.0,ExistingCreditPaid,RadioOrTV,625.0,<100,<1,4.0,MarriedMale,guarantor,1.0,RealEstate,26.0,Bank,Own,1.0,UnskilledResident,1.0,0,1,yes
<0,12.0,ExistingCreditPaid,Education,1200.0,NoSavings,1<=X<4,4.0,DivorcedFemale,none,4.0,LifeInsurance,23.0,Bank,Rent,1.0,Skilled,1.0,1,1,yes
NoCheckingAccount,12.0,ExistingCreditPaid,RadioOrTV,707.0,<100,1<=X<4,4.0,SingleMale,none,2.0,RealEstate,30.0,Bank,Own,2.0,Skilled,1.0,0,1,yes
NoCheckingAccount,24.0,PreviouslyDelayedPayment,Business,2978.0,NoSavings,1<=X<4,4.0,SingleMale,none,4.0,RealEstate,32.0,None,Own,2.0,Skilled,2.0,1,1,yes
NoCheckingAccount,15.0,ExistingCreditPaid,UsedCar,4657.0,<100,1<=X<4,3.0,SingleMale,none,2.0,Car,30.0,None,Own,1.0,Skilled,1.0,1,1,yes
NoCheckingAccount,36.0,NoCredits,Repairs,2613.0,<100,1<=X<4,4.0,SingleMale,none,2.0,Car,27.0,None,Own,2.0,Skilled,1.0,0,1,yes
0<=X<200,48.0,ExistingCreditPaid,RadioOrTV,10961.0,>=1000,4<=X<7,1.0,SingleMale,co applicant,2.0,NoKnownProperty,27.0,Bank,Own,2.0,Skilled,1.0,1,1,no
<0,12.0,ExistingCreditPaid,FurnitureOrEquipment,7865.0,<100,>=7,4.0,SingleMale,none,4.0,NoKnownProperty,53.0,None,ForFree,1.0,HighlyQualified,1.0,1,1,no
NoCheckingAccount,9.0,ExistingCreditPaid,RadioOrTV,1478.0,<100,4<=X<7,4.0,SingleMale,none,2.0,Car,22.0,None,Own,1.0,Skilled,1.0,0,1,no
<0,24.0,ExistingCreditPaid,FurnitureOrEquipment,3149.0,<100,<1,4.0,SingleMale,none,1.0,NoKnownProperty,22.0,Bank,ForFree,1.0,Skilled,1.0,0,1,yes
>=200,36.0,ExistingCreditPaid,RadioOrTV,4210.0,<100,1<=X<4,4.0,SingleMale,none,2.0,Car,26.0,None,Own,1.0,Skilled,1.0,0,1,no
NoCheckingAccount,9.0,ExistingCreditPaid,NewCar,2507.0,500<=X<1000,>=7,2.0,SingleMale,none,4.0,NoKnownProperty,51.0,None,ForFree,1.0,UnskilledResident,1.0,0,1,yes
NoCheckingAccount,12.0,ExistingCreditPaid,RadioOrTV,2141.0,100<=X<500,4<=X<7,3.0,SingleMale,none,1.0,NoKnownProperty,35.0,None,Own,1.0,Skilled,1.0,0,1,yes
0<=X<200,18.0,ExistingCreditPaid,RadioOrTV,866.0,<100,1<=X<4,4.0,MarriedMale,guarantor,2.0,RealEstate,25.0,None,Own,1.0,UnskilledResident,1.0,0,1,yes
NoCheckingAccount,4.0,OtherBankCredit,RadioOrTV,1544.0,<100,4<=X<7,2.0,SingleMale,none,1.0,RealEstate,42.0,None,Own,3.0,UnskilledResident,2.0,0,1,yes
<0,24.0,ExistingCreditPaid,RadioOrTV,1823.0,<100,Unemployed,4.0,SingleMale,none,2.0,Car,30.0,Stores,Own,1.0,HighlyQualified,2.0,0,1,no
0<=X<200,6.0,ExistingCreditPaid,NewCar,14555.0,NoSavings,Unemployed,1.0,SingleMale,none,2.0,LifeInsurance,23.0,None,Own,1.0,UnskilledNonResident,1.0,1,1,no
0<=X<200,21.0,ExistingCreditPaid,Business,2767.0,100<=X<500,>=7,4.0,DivorcedMale,none,2.0,Car,61.0,Bank,Rent,2.0,UnskilledResident,1.0,0,1,no
NoCheckingAccount,12.0,OtherBankCredit,RadioOrTV,1291.0,<100,1<=X<4,4.0,DivorcedFemale,none,2.0,LifeInsurance,35.0,None,Own,2.0,Skilled,1.0,0,1,yes
<0,30.0,ExistingCreditPaid,RadioOrTV,2522.0,<100,>=7,1.0,SingleMale,guarantor,3.0,LifeInsurance,39.0,None,Own,1.0,Skilled,2.0,0,1,yes
<0,24.0,ExistingCreditPaid,NewCar,915.0,NoSavings,>=7,4.0,DivorcedFemale,none,2.0,Car,29.0,Bank,Own,1.0,Skilled,1.0,0,1,no
NoCheckingAccount,6.0,ExistingCreditPaid,RadioOrTV,1595.0,<100,4<=X<7,3.0,SingleMale,none,2.0,LifeInsurance,51.0,None,Own,1.0,Skilled,2.0,0,1,yes
<0,48.0,NoCredits,UsedCar,4605.0,<100,>=7,3.0,SingleMale,none,4.0,NoKnownProperty,24.0,None,ForFree,2.0,Skilled,2.0,0,1,no
NoCheckingAccount,12.0,OtherBankCredit,Business,1185.0,<100,1<=X<4,3.0,DivorcedFemale,none,2.0,RealEstate,27.0,None,Own,2.0,Skilled,1.0,0,1,yes
NoCheckingAccount,12.0,AllCreditsPaid,Retraining,3447.0,500<=X<1000,1<=X<4,4.0,DivorcedFemale,none,3.0,RealEstate,35.0,None,Own,1.0,UnskilledResident,2.0,0,1,yes
NoCheckingAccount,24.0,ExistingCreditPaid,Business,1258.0,<100,4<=X<7,4.0,SingleMale,none,1.0,RealEstate,25.0,None,Own,1.0,Skilled,1.0,1,1,yes
NoCheckingAccount,12.0,OtherBankCredit,RadioOrTV,717.0,<100,>=7,4.0,SingleMale,none,4.0,RealEstate,52.0,None,Own,3.0,Skilled,1.0,0,1,yes
NoCheckingAccount,6.0,NoCredits,NewCar,1204.0,100<=X<500,1<=X<4,4.0,SingleMale,none,1.0,NoKnownProperty,35.0,Bank,Rent,1.0,Skilled,1.0,0,0,yes
>=200,24.0,ExistingCreditPaid,FurnitureOrEquipment,1925.0,<100,1<=X<4,2.0,SingleMale,none,2.0,RealEstate,26.0,None,Own,1.0,Skilled,1.0,0,1,yes
NoCheckingAccount,18.0,ExistingCreditPaid,RadioOrTV,433.0,<100,Unemployed,3.0,DivorcedFemale,co applicant,4.0,RealEstate,22.0,None,Rent,1.0,Skilled,1.0,0,1,no
<0,6.0,OtherBankCredit,NewCar,666.0,>=1000,4<=X<7,3.0,DivorcedFemale,none,4.0,RealEstate,39.0,None,Own,2.0,UnskilledResident,1.0,1,1,yes
>=200,12.0,ExistingCreditPaid,FurnitureOrEquipment,2251.0,<100,1<=X<4,1.0,DivorcedFemale,none,2.0,Car,46.0,None,Own,1.0,UnskilledResident,1.0,0,1,yes
0<=X<200,30.0,ExistingCreditPaid,NewCar,2150.0,<100,1<=X<4,4.0,DivorcedFemale,guarantor,2.0,NoKnownProperty,24.0,Bank,Own,1.0,Skilled,1.0,0,1,no
NoCheckingAccount,24.0,PreviouslyDelayedPayment,FurnitureOrEquipment,4151.0,100<=X<500,1<=X<4,2.0,SingleMale,none,3.0,LifeInsurance,35.0,None,Own,2.0,Skilled,1.0,0,1,yes
0<=X<200,9.0,ExistingCreditPaid,FurnitureOrEquipment,2030.0,NoSavings,4<=X<7,2.0,SingleMale,none,1.0,Car,24.0,None,Own,1.0,Skilled,1.0,1,1,yes
0<=X<200,60.0,PreviouslyDelayedPayment,RadioOrTV,7418.0,NoSavings,1<=X<4,1.0,SingleMale,none,1.0,RealEstate,27.0,None,Own,1.0,UnskilledResident,1.0,0,1,yes
NoCheckingAccount,24.0,OtherBankCredit,RadioOrTV,2684.0,<100,1<=X<4,4.0,SingleMale,none,2.0,RealEstate,35.0,None,Own,2.0,UnskilledResident,1.0,0,1,yes
<0,12.0,AllCreditsPaid,RadioOrTV,2149.0,<100,1<=X<4,4.0,DivorcedMale,none,1.0,NoKnownProperty,29.0,None,ForFree,1.0,Skilled,1.0,0,1,no
NoCheckingAccount,15.0,ExistingCreditPaid,UsedCar,3812.0,100<=X<500,<1,1.0,DivorcedFemale,none,4.0,Car,23.0,None,Own,1.0,Skilled,1.0,1,1,yes
NoCheckingAccount,11.0,OtherBankCredit,RadioOrTV,1154.0,100<=X<500,Unemployed,4.0,DivorcedFemale,none,4.0,RealEstate,57.0,None,Own,3.0,UnskilledResident,1.0,0,1,yes
<0,12.0,ExistingCreditPaid,FurnitureOrEquipment,1657.0,<100,1<=X<4,2.0,SingleMale,none,2.0,RealEstate,27.0,None,Own,1.0,Skilled,1.0,0,1,yes
<0,24.0,ExistingCreditPaid,RadioOrTV,1603.0,<100,>=7,4.0,DivorcedFemale,none,4.0,Car,55.0,None,Own,1.0,Skilled,1.0,0,1,yes
<0,18.0,OtherBankCredit,NewCar,5302.0,<100,>=7,2.0,SingleMale,none,4.0,NoKnownProperty,36.0,None,ForFree,3.0,HighlyQualified,1.0,1,1,yes
NoCheckingAccount,12.0,OtherBankCredit,Education,2748.0,<100,>=7,2.0,DivorcedFemale,none,4.0,NoKnownProperty,57.0,Bank,ForFree,3.0,UnskilledResident,1.0,0,1,yes
NoCheckingAccount,10.0,OtherBankCredit,NewCar,1231.0,<100,>=7,3.0,SingleMale,none,4.0,RealEstate,32.0,None,Own,2.0,UnskilledResident,2.0,0,0,yes
0<=X<200,15.0,ExistingCreditPaid,RadioOrTV,802.0,<100,>=7,4.0,SingleMale,none,3.0,Car,37.0,None,Own,1.0,Skilled,2.0,0,1,no
NoCheckingAccount,36.0,OtherBankCredit,Business,6304.0,NoSavings,>=7,4.0,SingleMale,none,4.0,RealEstate,36.0,None,Own,2.0,Skilled,1.0,0,1,yes
NoCheckingAccount,24.0,ExistingCreditPaid,RadioOrTV,1533.0,<100,<1,4.0,DivorcedFemale,none,3.0,Car,38.0,Stores,Own,1.0,Skilled,1.0,1,1,yes
<0,14.0,ExistingCreditPaid,NewCar,8978.0,<100,>=7,1.0,DivorcedMale,none,4.0,LifeInsurance,45.0,None,Own,1.0,HighlyQualified,1.0,1,0,no
NoCheckingAccount,24.0,ExistingCreditPaid,RadioOrTV,999.0,NoSavings,>=7,4.0,SingleMale,none,2.0,Car,25.0,None,Own,2.0,Skilled,1.0,0,1,yes
NoCheckingAccount,18.0,ExistingCreditPaid,NewCar,2662.0,NoSavings,4<=X<7,4.0,SingleMale,none,3.0,LifeInsurance,32.0,None,Own,1.0,Skilled,1.0,0,0,yes
NoCheckingAccount,12.0,OtherBankCredit,FurnitureOrEquipment,1402.0,500<=X<1000,4<=X<7,3.0,DivorcedFemale,none,4.0,Car,37.0,None,Rent,1.0,Skilled,1.0,1,1,yes
0<=X<200,48.0,AllCreditsPaid,NewCar,12169.0,NoSavings,Unemployed,4.0,SingleMale,co applicant,4.0,NoKnownProperty,36.0,None,ForFree,1.0,HighlyQualified,1.0,1,1,yes
0<=X<200,48.0,ExistingCreditPaid,RadioOrTV,3060.0,<100,4<=X<7,4.0,SingleMale,none,4.0,RealEstate,28.0,None,Own,2.0,Skilled,1.0,0,1,no
<0,30.0,ExistingCreditPaid,Repairs,11998.0,<100,<1,1.0,DivorcedMale,none,1.0,NoKnownProperty,34.0,None,Own,1.0,UnskilledResident,1.0,1,1,no
NoCheckingAccount,9.0,ExistingCreditPaid,RadioOrTV,2697.0,<100,1<=X<4,1.0,SingleMale,none,2.0,RealEstate,32.0,None,Own,1.0,Skilled,2.0,0,1,yes
NoCheckingAccount,18.0,OtherBankCredit,RadioOrTV,2404.0,<100,1<=X<4,2.0,DivorcedFemale,none,2.0,Car,26.0,None,Own,2.0,Skilled,1.0,0,1,yes
<0,12.0,ExistingCreditPaid,FurnitureOrEquipment,1262.0,NoSavings,>=7,2.0,DivorcedMale,none,4.0,LifeInsurance,49.0,None,Own,1.0,UnskilledResident,1.0,1,1,yes
NoCheckingAccount,6.0,ExistingCreditPaid,FurnitureOrEquipment,4611.0,<100,<1,1.0,DivorcedFemale,none,4.0,LifeInsurance,32.0,None,Own,1.0,Skilled,1.0,0,1,no
NoCheckingAccount,24.0,ExistingCreditPaid,RadioOrTV,1901.0,100<=X<500,1<=X<4,4.0,SingleMale,none,4.0,Car,29.0,None,Rent,1.0,HighlyQualified,1.0,1,1,yes
NoCheckingAccount,15.0,OtherBankCredit,UsedCar,3368.0,>=1000,>=7,3.0,SingleMale,none,4.0,NoKnownProperty,23.0,None,Rent,2.0,Skilled,1.0,1,1,yes
NoCheckingAccount,12.0,ExistingCreditPaid,FurnitureOrEquipment,1574.0,<100,1<=X<4,4.0,SingleMale,none,2.0,RealEstate,50.0,None,Own,1.0,Skilled,1.0,0,1,yes
>=200,18.0,AllCreditsPaid,RadioOrTV,1445.0,NoSavings,4<=X<7,4.0,SingleMale,none,4.0,Car,49.0,Bank,Own,1.0,UnskilledResident,1.0,0,1,yes
